time	pH		Temp/°C		Cond/µS	
351		6.383		21.5		-5012	
352		6.38		21.5		-5000	
353		6.379		21.5		-5012	
354		6.376		21.6		-5024	
355		6.374		21.5		-5000	
356		6.371		21.5		-5012	
357		6.369		21.6		-5024	
358		6.366		21.5		-5012	
359		6.363		21.5		-4987	
360		6.361		21.6		-5012	
361		6.358		21.5		-5012	
362		6.356		21.5		-5024	
363		6.353		21.5		-5012	
364		6.351		21.5		-5000	
365		6.348		21.5		-5000	
366		6.345		21.6		-5012	
367		6.342		21.6		-5000	
368		6.34		21.5		-5012	
369		6.337		21.5		-5012	
370		6.334		21.6		-5012	
371		6.332		21.6		-5024	
372		6.329		21.5		-5000	
373		6.326		21.5		-5012	
374		6.323		21.5		-5000	
375		6.321		21.5		-5000	
376		6.317		21.6		-5012	
377		6.315		21.6		-5012	
378		6.312		21.5		-5012	
379		6.309		21.5		-5012	
380		6.306		21.6		-5000	
381		6.304		21.6		-5000	
382		6.302		21.5		-4987	
383		6.298		21.6		-5012	
384		6.295		21.5		-5012	
385		6.292		21.6		-5012	
386		6.289		21.5		-5000	
387		6.286		21.5		-5012	
388		6.283		21.6		-5012	
389		6.28		21.5		-5012	
390		6.277		21.5		-5000	
391		6.274		21.5		-5024	
392		6.271		21.5		-5000	
393		6.267		21.6		-5012	
394		6.264		21.6		-5000	
395		6.262		21.6		-5012	
396		6.258		21.5		-5000	
397		6.255		21.6		-5012	
398		6.252		21.5		-5012	
399		6.248		21.5		-5000	
400		6.245		21.5		-5000	
401		6.242		21.5		-5000	
402		6.238		21.6		-5012	
403		6.235		21.6		-5000	
404		6.231		21.6		-4987	
405		6.228		21.5		-5024	
406		6.225		21.6		-5012	
407		6.221		21.6		-5012	
408		6.217		21.6		-5012	
409		6.214		21.5		-5000	
410		6.211		21.5		-5000	
411		6.207		21.6		-5012	
412		6.204		21.5		-5000	
413		6.2		21.5		-5024	
414		6.197		21.6		-5000	
415		6.193		21.6		-5012	
416		6.19		21.6		-5000	
417		6.186		21.6		-5012	
418		6.183		21.5		-5000	
419		6.179		21.5		-5012	
420		6.175		21.6		-5000	
421		6.171		21.6		-5000	
422		6.168		21.6		-5000	
423		6.164		21.5		-5012	
424		6.16		21.6		-5000	
425		6.156		21.6		-5000	
426		6.153		21.6		-5012	
427		6.149		21.6		-5012	
428		6.146		21.6		-5012	
429		6.141		21.6		-5012	
430		6.137		21.6		-5012	
431		6.134		21.6		-5012	
432		6.13		21.5		-5000	
433		6.126		21.6		-5000	
434		6.122		21.6		-5012	
435		6.118		21.5		-5000	
436		6.114		21.6		-5012	
437		6.111		21.6		-4987	
438		6.106		21.6		-5000	
439		6.102		21.6		-4987	
440		6.098		21.6		-4987	
441		6.095		21.6		-5000	
442		6.09		21.6		-5024	
443		6.086		21.6		-5000	
444		6.082		21.6		-4987	
445		6.078		21.6		-5012	
446		6.074		21.7		-5012	
447		6.07		21.6		-5000	
448		6.066		21.6		-5012	
449		6.062		21.6		-5012	
450		6.057		21.6		-5000	
451		6.053		21.5		-5000	
452		6.049		21.6		-5000	
453		6.045		21.6		-5012	
454		6.041		21.6		-5012	
455		6.037		21.6		-5012	
456		6.033		21.6		-5000	
457		6.029		21.5		-5012	
458		6.025		21.6		-5000	
459		6.02		21.5		-4975	
460		6.016		21.6		-5000	
461		6.012		21.6		-5012	
462		6.008		21.6		-5000	
463		6.004		21.5		-5012	
464		6		21.6		-5012	
465		5.996		21.6		-5000	
466		5.992		21.6		-5012	
467		5.988		21.5		-5000	
468		5.984		21.5		-5024	
469		5.98		21.6		-5000	
470		5.976		21.6		-4987	
471		5.972		21.6		-5024	
472		5.968		21.5		-5000	
473		5.964		21.6		-5012	
474		5.96		21.6		-5012	
475		5.956		21.6		-5024	
476		5.952		21.6		-5000	
477		5.948		21.6		-5000	
478		5.943		21.6		-5012	
479		5.939		21.5		-5000	
480		5.935		21.5		-5000	
481		5.932		21.5		-5000	
482		5.928		21.5		-5000	
483		5.924		21.5		-5012	
484		5.921		21.6		-5012	
485		5.916		21.5		-5012	
486		5.912		21.5		-4987	
487		5.909		21.5		-5024	
488		5.905		21.6		-5024	
489		5.901		21.6		-5012	
490		5.897		21.6		-5012	
491		5.893		21.5		-4987	
492		5.89		21.6		-5000	
493		5.887		21.6		-5012	
494		5.882		21.5		-5012	
495		5.879		21.5		-5024	
496		5.875		21.5		-5024	
497		5.871		21.5		-5012	
498		5.868		21.5		-5024	
499		5.864		21.6		-5012	
500		5.861		21.5		-5000	
501		5.857		21.5		-5012	
502		5.854		21.6		-5024	
503		5.85		21.5		-5012	
504		5.847		21.5		-4987	
505		5.843		21.5		-5012	
506		5.84		21.6		-5000	
507		5.837		21.5		-5012	
508		5.833		21.6		-5012	
509		5.83		21.6		-5012	
510		5.827		21.5		-5012	
511		5.824		21.6		-5012	
512		5.82		21.5		-5012	
513		5.817		21.6		-5012	
514		5.814		21.5		-5000	
515		5.811		21.6		-5012	
516		5.807		21.5		-5012	
517		5.805		21.6		-5000	
518		5.801		21.6		-5012	
519		5.798		21.6		-5012	
520		5.795		21.6		-5000	
521		5.793		21.6		-5012	
522		5.79		21.5		-5012	
523		5.786		21.6		-5000	
524		5.784		21.6		-5012	
525		5.78		21.6		-5012	
526		5.778		21.6		-5012	
527		5.775		21.6		-5012	
528		5.772		21.6		-5012	
529		5.77		21.6		-5012	
530		5.767		21.6		-5012	
531		5.764		21.6		-5012	
532		5.761		21.6		-5000	
533		5.759		21.6		-5012	
534		5.756		21.6		-5024	
535		5.753		21.5		-5012	
536		5.751		21.6		-4987	
537		5.748		21.6		-5000	
538		5.745		21.6		-5012	
539		5.744		21.6		-5012	
540		5.741		21.5		-5012	
541		5.738		21.6		-5024	
542		5.736		21.7		-5012	
543		5.734		21.6		-5012	
544		5.731		21.5		-5024	
545		5.729		21.5		-5012	
546		5.726		21.7		-5000	
547		5.724		21.6		-5012	
548		5.722		21.6		-5012	
549		5.721		21.6		-5000	
550		5.717		21.6		-5024	
551		5.715		21.6		-5000	
552		5.713		21.6		-5000	
553		5.711		21.6		-5000	
554		5.709		21.6		-5012	
555		5.707		21.6		-5012	
556		5.705		21.6		-5012	
557		5.703		21.6		-5000	
558		5.701		21.6		-4987	
559		5.698		21.6		-5000	
560		5.696		21.6		-5012	
561		5.694		21.7		-5000	
562		5.693		21.6		-5000	
563		5.69		21.6		-5012	
564		5.689		21.6		-5012	
565		5.687		21.6		-5012	
566		5.686		21.6		-5000	
567		5.684		21.6		-5012	
568		5.682		21.6		-5000	
569		5.68		21.6		-5024	
570		5.678		21.6		-5024	
571		5.676		21.6		-4987	
572		5.674		21.6		-5012	
573		5.673		21.6		-5012	
