Time	Cond		
489	0.6686	-0.0012	19.3
490	0.6687	0.0037	19.3
491	0.6687	-0.0005	19.3
492	0.6687	0.0003	19.3
493	0.6689	0.0054	19.3
494	0.6689	-0.0051	19.3
495	0.6689	-0.0005	19.3
496	0.6689	-0.002	19.3
497	0.669	-0.0029	19.3
498	0.6691	-0.0026	19.3
499	0.6692	0.0018	19.3
500	0.6691	-0.0046	19.3
501	0.6692	0.0001	19.3
502	0.6692	-0.0061	19.3
503	0.6694	0.0007	19.3
504	0.6694	-0.0018	19.3
505	0.6694	0.0001	19.3
506	0.6695	-0.0012	19.3
507	0.6695	0.0026	19.3
508	0.6695	-0.0037	19.3
509	0.6696	-0.0031	19.3
510	0.6697	-0.0004	19.3
511	0.6697	-0.0012	19.3
512	0.6698	0.0023	19.3
513	0.6699	0.0016	19.3
514	0.6699	0.0006	19.3
515	0.6699	0.0035	19.3
516	0.6699	-0.0007	19.3
517	0.67	0.0011	19.3
518	0.67	0.0009	19.3
519	0.6701	-0.0013	19.3
520	0.6701	-0.0003	19.3
521	0.6701	-0.003	19.3
522	0.6701	-0.0024	19.3
523	0.6702	0.0011	19.3
524	0.6702	0.0001	19.3
525	0.6703	-0.005	19.3
526	0.6704	0.0034	19.3
527	0.6704	0.0011	19.3
528	0.6704	-0.0029	19.3
529	0.6704	-0.0018	19.3
530	0.6705	-0.0013	19.3
531	0.6705	-0.0005	19.3
532	0.6707	0.0035	19.3
533	0.6706	-0.0038	19.3
534	0.6707	-0.0056	19.3
535	0.6707	-0.0009	19.3
536	0.6708	-0.0027	19.3
537	0.6708	0.0011	19.3
538	0.6708	0.0025	19.3
539	0.6709	-0.0001	19.3
540	0.6709	0.0006	19.3
541	0.6709	-0.0013	19.3
542	0.671	-0.0038	19.3
543	0.6711	-0.0015	19.3
544	0.671	0.002	19.3
545	0.6711	-0.0034	19.3
546	0.6712	-0.0023	19.3
547	0.6712	-0.0025	19.3
548	0.6712	-0.0035	19.3
549	0.6712	-0.0034	19.3
550	0.6713	-0.0005	19.3
551	0.6713	0.0011	19.3
552	0.6714	0.0018	19.3
553	0.6714	-0.0044	19.3
554	0.6714	-0.0035	19.3
555	0.6715	-0.0012	19.3
556	0.6715	-0.0006	19.3
557	0.6715	-0.0023	19.3
558	0.6715	-0.0037	19.3
559	0.6716	-0.0049	19.3
560	0.6717	-0.0044	19.3
561	0.6717	0.0009	19.3
562	0.6718	0.0015	19.3
563	0.6717	-0.0009	19.3
564	0.6718	-0.0007	19.3
565	0.6718	0.0012	19.3
566	0.6718	-0.0007	19.3
567	0.6718	-0.0019	19.3
568	0.6719	0.0007	19.3
569	0.6719	-0.0003	19.3
570	0.6719	-0.0032	19.3
571	0.672	-0.0013	19.3
572	0.672	-0.0034	19.3
573	0.672	0.0007	19.3
574	0.6721	-0.0007	19.3
575	0.6721	-0.001	19.3
576	0.6722	0.0024	19.3
577	0.6721	-0.0006	19.3
578	0.6722	-0.0042	19.3
579	0.6722	-0.0043	19.3
580	0.6723	0.0024	19.3
581	0.6723	-0.0035	19.3
582	0.6723	-0.0021	19.3
583	0.6723	-0.0024	19.3
584	0.6724	-0.0021	19.3
585	0.6724	0.0027	19.3
586	0.6725	-0.0005	19.3
587	0.6724	-0.002	19.3
588	0.6725	-0.0027	19.3
589	0.6725	-0.0009	19.3
590	0.6725	-0.0038	19.3
591	0.6725	-0.0019	19.3
592	0.6726	-0.0021	19.3
593	0.6726	-0.0036	19.3
594	0.6726	-0.0037	19.3
595	0.6727	-0.0022	19.3
596	0.6727	0.0009	19.3
597	0.6727	-0.007	19.3
598	0.6728	-0.0016	19.3
599	0.6728	0.0002	19.3
600	0.6727	-0.006	19.3
601	0.6728	-0.0007	19.3
602	0.6728	-0.0005	19.3
603	0.6728	-0.0036	19.3
604	0.6729	-0.0016	19.3
605	0.673	-0.0003	19.3
606	0.6729	-0.0058	19.3
607	0.673	-0.0022	19.3
608	0.673	0.0012	19.3
609	0.6731	-0.0015	19.3
610	0.673	-0.0024	19.3
611	0.6731	-0.0032	19.3
612	0.6731	-0.0052	19.3
613	0.6731	-0.0004	19.3
614	0.6731	0.0004	19.3
615	0.6731	-0.0031	19.3
616	0.6732	0.0005	19.3
617	0.6733	-0.0041	19.3
618	0.6732	-0.0048	19.3
619	0.6732	-0.0048	19.3
620	0.6733	-0.0021	19.3
621	0.6733	-0.0015	19.3
622	0.6733	-0.0018	19.3
623	0.6733	-0.001	19.3
624	0.6733	-0.0037	19.3
625	0.6734	-0.0056	19.3
626	0.6734	-0.0048	19.3
627	0.6734	-0.0013	19.3
628	0.6734	-0.0034	19.3
629	0.6734	-0.0043	19.3
630	0.6735	-0.0029	19.3
631	0.6735	-0.0046	19.3
632	0.6735	-0.0032	19.3
633	0.6735	-0.0025	19.3
634	0.6735	-0.0057	19.3
635	0.6735	-0.0019	19.3
636	0.6735	-0.0049	19.3
637	0.6735	-0.0031	19.3
638	0.6735	-0.0014	19.3
639	0.6735	-0.0028	19.3
640	0.6736	-0.0041	19.3
641	0.6736	0.0002	19.3
642	0.6737	-0.0024	19.3
643	0.6737	-0.0014	19.3
644	0.6737	0.0024	19.3
645	0.6737	0.001	19.3
646	0.6739	0.0021	19.3
647	0.6739	0.0007	19.3
648	0.6739	-0.0035	19.3
649	0.6739	-0.0011	19.3
650	0.6739	-0.0033	19.3
651	0.6739	-0.0053	19.3
652	0.6739	-0.0018	19.3
653	0.6739	-0.0009	19.3
654	0.6739	-0.0031	19.3
655	0.6739	-0.0016	19.3
656	0.6739	-0.0041	19.3
657	0.674	-0.0023	19.3
658	0.6739	-0.0069	19.3
659	0.6739	0.0004	19.3
660	0.674	-0.0026	19.3
661	0.6739	-0.0002	19.3
662	0.6739	-0.0034	19.3
663	0.6739	-0.0035	19.3
664	0.6739	-0.0043	19.3
665	0.674	-0.0024	19.3
666	0.674	-0.0033	19.3
667	0.674	-0.0039	19.3
668	0.674	-0.0035	19.3
669	0.674	-0.001	19.3
670	0.674	-0.005	19.3
671	0.674	-0.0031	19.3
672	0.6741	-0.0031	19.3
673	0.674	-0.0053	19.3
674	0.6741	-0.0007	19.3
675	0.6741	-0.0009	19.3
676	0.6741	-0.0029	19.3
677	0.6741	-0.0038	19.3
678	0.6741	-0.003	19.3
679	0.6741	-0.0033	19.3
680	0.6741	-0.0008	19.3
681	0.6742	-0.0024	19.3
682	0.6742	-0.003	19.3
683	0.6741	-0.0064	19.3
684	0.6742	-0.0004	19.3
685	0.6742	-0.0007	19.3
686	0.6742	-0.0059	19.3
687	0.6742	0.0023	19.3
688	0.6742	-0.0064	19.3
689	0.6742	-0.0014	19.3
690	0.6742	-0.0061	19.3
691	0.6742	-0.0023	19.3
692	0.6742	-0.0038	19.3
693	0.6743	-0.006	19.3
694	0.6743	-0.0014	19.3
695	0.6743	-0.0065	19.3
696	0.6743	-0.0042	19.3
697	0.6744	-0.0025	19.3
698	0.6743	-0.0043	19.3
699	0.6743	0.0001	19.3
700	0.6743	-0.0024	19.3
701	0.6743	-0.0047	19.3
702	0.6743	-0.0028	19.3
703	0.6744	-0.004	19.3
704	0.6744	-0.0008	19.3
705	0.6744	-0.0007	19.3
706	0.6744	-0.0007	19.3
707	0.6744	-0.0007	19.3
708	0.6744	-0.0039	19.3
709	0.6745	-0.0017	19.3
710	0.6745	-0.001	19.3
711	0.6744	-0.0021	19.3
712	0.6744	-0.0039	19.3
713	0.6744	-0.0016	19.3
714	0.6744	-0.0059	19.3
715	0.6744	-0.001	19.3
716	0.6744	-0.0038	19.3
717	0.6744	-0.0021	19.3
718	0.6745	-0.0029	19.3
719	0.6745	-0.0028	19.3
720	0.6745	-0.0004	19.3
721	0.6744	-0.0034	19.3
722	0.6745	-0.0041	19.3
723	0.6745	-0.0028	19.3
724	0.6745	-0.0033	19.3
725	0.6745	0.0006	19.3
726	0.6745	-0.0081	19.3
727	0.6745	0.0026	19.3
728	0.6745	-0.0054	19.3
729	0.6745	-0.0049	19.3
730	0.6745	-0.0059	19.3
731	0.6745	-0.0032	19.3
732	0.6745	-0.0034	19.3
733	0.6745	-0.0033	19.3
734	0.6745	-0.0023	19.3
735	0.6745	-0.0023	19.3
736	0.6745	-0.0023	19.3
737	0.6746	0.0016	19.3
738	0.6745	-0.004	19.3
739	0.6746	-0.0054	19.3
740	0.6746	-0.0024	19.3
741	0.6746	-0.0028	19.3
742	0.6746	-0.0021	19.3
743	0.6746	-0.0083	19.3
744	0.6746	-0.0012	19.3
745	0.6746	-0.0039	19.3
746	0.6746	-0.0041	19.3
747	0.6746	-0.0027	19.3
748	0.6745	-0.0052	19.3
749	0.6746	-0.0008	19.3
750	0.6746	-0.0016	19.3
751	0.6746	-0.002	19.3
752	0.6746	-0.0024	19.3
753	0.6746	-0.0031	19.3
754	0.6746	-0.0039	19.3
755	0.6746	-0.0023	19.3
756	0.6746	-0.0029	19.3
757	0.6746	-0.0019	19.3
758	0.6746	-0.0009	19.3
759	0.6746	-0.0029	19.3
760	0.6746	-0.0025	19.3
761	0.6747	-0.0023	19.3
762	0.6746	-0.0051	19.3
763	0.6747	-0.0035	19.3
764	0.6746	-0.0069	19.3
765	0.6747	-0.0024	19.3
766	0.6747	-0.0018	19.3
767	0.6747	-0.0038	19.3
768	0.6747	-0.0023	19.3
769	0.6747	-0.0044	19.3
770	0.6747	-0.0017	19.3
771	0.6747	-0.0022	19.3
772	0.6746	-0.0041	19.3
773	0.6747	0.0011	19.3
774	0.6746	-0.007	19.3
775	0.6747	-0.006	19.3
776	0.6747	-0.0021	19.3
777	0.6747	-0.0026	19.3
778	0.6747	-0.0038	19.3
779	0.6747	-0.002	19.3
780	0.6747	-0.0019	19.3
781	0.6746	-0.0044	19.3
782	0.6747	0.0003	19.3
783	0.6747	-0.0044	19.3
784	0.6747	-0.0021	19.3
785	0.6746	-0.0069	19.3
786	0.6747	-0.0024	19.3
787	0.6747	-0.0038	19.3
788	0.6747	-0.0035	19.3
789	0.6748	-0.0068	19.3
790	0.6747	-0.0045	19.3
791	0.6748	-0.0047	19.3
792	0.6747	-0.0017	19.3
793	0.6748	-0.0024	19.3
794	0.6747	-0.0066	19.3
795	0.6748	-0.0029	19.3
796	0.6747	-0.0044	19.3
797	0.6747	-0.0057	19.3
798	0.6747	-0.0034	19.3
799	0.6748	-0.0044	19.3
800	0.6748	-0.0019	19.3
801	0.6748	-0.0045	19.3
802	0.6747	-0.0016	19.3
803	0.6748	-0.004	19.3
804	0.6747	-0.0019	19.3
805	0.6747	0.0004	19.3
806	0.6747	-0.003	19.3
807	0.6747	-0.0033	19.3
808	0.6747	-0.0054	19.3
809	0.6748	-0.0018	19.3
810	0.6748	0.0012	19.3
811	0.6748	-0.0054	19.3
812	0.6747	-0.0034	19.3
813	0.6747	-0.0012	19.3
814	0.6748	-0.005	19.3
815	0.6748	-0.0026	19.3
816	0.6748	-0.0018	19.3
817	0.6748	-0.0043	19.3
818	0.6747	-0.0042	19.3
819	0.6747	-0.0026	19.3
820	0.6748	-0.0024	19.3
821	0.6747	-0.0058	19.3
822	0.6747	-0.0064	19.3
823	0.6747	-0.0049	19.3
824	0.6747	-0.0018	19.3
825	0.6748	-0.0013	19.3
826	0.6747	-0.0081	19.3
827	0.6747	-0.0042	19.3
828	0.6748	-0.0049	19.3
829	0.6747	-0.0034	19.3
830	0.6748	-0.0018	19.3
831	0.6747	-0.0037	19.3
832	0.6747	0.0003	19.3
833	0.6747	-0.0055	19.3
834	0.6748	-0.0034	19.3
835	0.6747	-0.0033	19.3
836	0.6748	-0.0021	19.3
837	0.6747	-0.0047	19.3
838	0.6748	-0.0042	19.3
839	0.6747	-0.0038	19.3
840	0.6747	-0.0029	19.3
841	0.6748	0	19.3
