mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V	Ewe/V	I/mA	dq/mA.h	(Q-Qo)/mA.h	dQ/C	(Q-Qo)/C	Q charge/discharge/mA.h	half cycle	x	Q discharge/mA.h	Q charge/mA.h	Capacity/mA.h	Efficiency/%	cycle number	P/W
2	1	0	0	0	0	0	3.299999916634988E+001	1.1999763E+000	1.2004427E+000	8.2129374E+000	2.290226414256626E-003	1.059207586970329E-001	3.8131472E-001	3.8131472E-001	1.059207586970329E-001	0	8.999447209102105E-001	0.000000000000000E+000	1.059207586970329E-001	1.059207586970329E-001	0	0.000000000000000E+000	9.8591605E-003
2	1	0	0	0	0	0	3.399999914108776E+001	1.1999763E+000	1.2005761E+000	8.1633463E+000	2.269284585528903E-003	1.081900432825618E-001	3.8948417E-001	3.8948417E-001	1.081900432825618E-001	0	8.999435371018245E-001	0.000000000000000E+000	1.081900432825618E-001	1.081900432825618E-001	0	0.000000000000000E+000	9.8007182E-003
2	1	0	0	0	0	0	3.499999911582563E+001	1.1999763E+000	1.2005608E+000	8.0183878E+000	2.256792299588521E-003	1.104468355821503E-001	3.9760861E-001	3.9760861E-001	1.104468355821503E-001	0	8.999423598102381E-001	0.000000000000000E+000	1.104468355821503E-001	1.104468355821503E-001	0	0.000000000000000E+000	9.6265618E-003
2	1	0	0	0	0	0	3.599999909056351E+001	1.1999763E+000	1.2005342E+000	8.0641642E+000	2.243121061907874E-003	1.126899566440582E-001	4.0568385E-001	4.0568385E-001	1.126899566440582E-001	0	8.999411896504701E-001	0.000000000000000E+000	1.126899566440582E-001	1.126899566440582E-001	0	0.000000000000000E+000	9.6813049E-003
2	1	0	0	0	0	0	3.699999906530138E+001	1.1999763E+000	1.2004349E+000	7.9993143E+000	2.223139686107635E-003	1.149130963301659E-001	4.1368714E-001	4.1368714E-001	1.149130963301659E-001	0	8.999400299143046E-001	0.000000000000000E+000	1.149130963301659E-001	1.149130963301659E-001	0	0.000000000000000E+000	9.6026566E-003
2	1	0	0	0	0	0	3.799999904003926E+001	1.1999763E+000	1.2005379E+000	7.9153914E+000	2.211961384932200E-003	1.171250577150981E-001	4.2165020E-001	4.2165020E-001	1.171250577150981E-001	0	8.999388760094775E-001	0.000000000000000E+000	1.171250577150981E-001	1.171250577150981E-001	0	0.000000000000000E+000	9.5027275E-003
2	1	0	0	0	0	0	3.899999901477713E+001	1.1999763E+000	1.2004769E+000	7.9077616E+000	2.201338329076767E-003	1.193263960441748E-001	4.2957503E-001	4.2957503E-001	1.193263960441748E-001	0	8.999377276463366E-001	0.000000000000000E+000	1.193263960441748E-001	1.193263960441748E-001	0	0.000000000000000E+000	9.4930846E-003
2	1	0	0	0	0	0	3.999999898951501E+001	1.1999763E+000	1.2005761E+000	7.7895060E+000	2.183733902692795E-003	1.215101299468676E-001	4.3743646E-001	4.3743646E-001	1.215101299468676E-001	0	8.999365884668246E-001	0.000000000000000E+000	1.215101299468676E-001	1.215101299468676E-001	0	0.000000000000000E+000	9.3518943E-003
2	1	0	0	0	0	0	4.099999896425288E+001	1.1999763E+000	1.2005112E+000	7.8123941E+000	2.173358140971925E-003	1.236834880878395E-001	4.4526055E-001	4.4526055E-001	1.236834880878395E-001	0	8.999354546999936E-001	0.000000000000000E+000	1.236834880878395E-001	1.236834880878395E-001	0	0.000000000000000E+000	9.3788672E-003
2	1	0	0	0	0	0	4.199999893899076E+001	1.1999763E+000	1.2004616E+000	7.8085794E+000	2.165671313630210E-003	1.258491594014698E-001	4.5305696E-001	4.5305696E-001	1.258491594014697E-001	0	8.999343249431182E-001	0.000000000000000E+000	1.258491594014697E-001	1.258491594014697E-001	0	0.000000000000000E+000	9.3738995E-003
2	1	0	0	0	0	0	4.299999891372863E+001	1.1999763E+000	1.2004502E+000	7.7208414E+000	2.150740144014359E-003	1.279998995454841E-001	4.6079963E-001	4.6079963E-001	1.279998995454841E-001	0	8.999332029753250E-001	0.000000000000000E+000	1.279998995454841E-001	1.279998995454841E-001	0	0.000000000000000E+000	9.2684850E-003
2	1	0	0	0	0	0	4.399999888846651E+001	1.1999763E+000	1.2005419E+000	7.6674356E+000	2.141767341507806E-003	1.301416668869919E-001	4.6851000E-001	4.6851000E-001	1.301416668869919E-001	0	8.999320856883368E-001	0.000000000000000E+000	1.301416668869919E-001	1.301416668869919E-001	0	0.000000000000000E+000	9.2050778E-003
2	1	0	0	0	0	0	4.499999886320438E+001	1.1999763E+000	1.2004311E+000	7.6903238E+000	2.134448847797182E-003	1.322761157347891E-001	4.7619402E-001	4.7619402E-001	1.322761157347891E-001	0	8.999309722191573E-001	0.000000000000000E+000	1.322761157347891E-001	1.322761157347891E-001	0	0.000000000000000E+000	9.2317043E-003
2	1	0	0	0	0	0	4.599999883794226E+001	1.1999763E+000	1.2005875E+000	7.6750650E+000	2.119635322570801E-003	1.343957510573599E-001	4.8382470E-001	4.8382470E-001	1.343957510573599E-001	0	8.999298664776888E-001	0.000000000000000E+000	1.343957510573599E-001	1.343957510573599E-001	0	0.000000000000000E+000	9.2145875E-003
2	1	0	0	0	0	0	4.699999881268013E+001	1.1999763E+000	1.2004960E+000	7.5682535E+000	2.112503963443968E-003	1.365082550208039E-001	4.9142972E-001	4.9142972E-001	1.365082550208039E-001	0	8.999287644564071E-001	0.000000000000000E+000	1.365082550208039E-001	1.365082550208039E-001	0	0.000000000000000E+000	9.0856580E-003
2	1	0	0	0	0	0	4.799999878741801E+001	1.1999763E+000	1.2004236E+000	7.6254740E+000	2.107264477994707E-003	1.386155194987986E-001	4.9901587E-001	4.9901587E-001	1.386155194987986E-001	0	8.999276651683863E-001	0.000000000000000E+000	1.386155194987986E-001	1.386155194987986E-001	0	0.000000000000000E+000	9.1537992E-003
2	1	0	0	0	0	0	4.899999876215588E+001	1.1999763E+000	1.2004654E+000	7.5606241E+000	2.092255767398410E-003	1.407077752661970E-001	5.0654799E-001	5.0654799E-001	1.407077752661970E-001	0	8.999265737098980E-001	0.000000000000000E+000	1.407077752661970E-001	1.407077752661970E-001	0	0.000000000000000E+000	9.0762684E-003
2	1	0	0	0	0	0	4.999999873689376E+001	1.1999763E+000	1.2004426E+000	7.5301070E+000	2.084967789808909E-003	1.427927430560059E-001	5.1405388E-001	5.1405388E-001	1.427927430560059E-001	0	8.999254860532991E-001	0.000000000000000E+000	1.427927430560059E-001	1.427927430560059E-001	0	0.000000000000000E+000	9.0394607E-003
2	1	0	0	0	0	0	5.099999871163163E+001	1.1999763E+000	1.2005799E+000	7.4347391E+000	2.080744284947713E-003	1.448734873409536E-001	5.2154458E-001	5.2154458E-001	1.448734873409536E-001	0	8.999244005999587E-001	0.000000000000000E+000	1.448734873409536E-001	1.448734873409536E-001	0	0.000000000000000E+000	8.9259986E-003
2	1	0	0	0	0	0	5.199999868636951E+001	1.1999763E+000	1.2005228E+000	7.4652567E+000	2.067878152211507E-003	1.469413654931651E-001	5.2898890E-001	5.2898890E-001	1.469413654931651E-001	0	8.999233218584410E-001	0.000000000000000E+000	1.469413654931651E-001	1.469413654931651E-001	0	0.000000000000000E+000	8.9622103E-003
2	1	0	0	0	0	0	5.299999866110738E+001	1.1999763E+000	1.2004731E+000	7.3889632E+000	2.061576060507032E-003	1.490029415536722E-001	5.3641057E-001	5.3641057E-001	1.490029415536721E-001	0	8.999222464045097E-001	0.000000000000000E+000	1.490029415536721E-001	1.490029415536721E-001	0	0.000000000000000E+000	8.8702515E-003
2	1	0	0	0	0	0	5.399999863584526E+001	1.1999763E+000	1.2004769E+000	7.3584452E+000	2.058432748344209E-003	1.510613743020164E-001	5.4382098E-001	5.4382098E-001	1.510613743020164E-001	0	8.999211725903371E-001	0.000000000000000E+000	1.510613743020164E-001	1.510613743020164E-001	0	0.000000000000000E+000	8.8336430E-003
2	1	0	0	0	0	0	5.499999861058313E+001	1.1999763E+000	1.2003815E+000	7.3851485E+000	2.046564382579592E-003	1.531079386845960E-001	5.5118859E-001	5.5118859E-001	1.531079386845959E-001	0	8.999201049674862E-001	0.000000000000000E+000	1.531079386845959E-001	1.531079386845959E-001	0	0.000000000000000E+000	8.8649960E-003
2	1	0	0	0	0	0	5.599999858532101E+001	1.1999763E+000	1.2005227E+000	7.3584452E+000	2.041112122244305E-003	1.551490508068403E-001	5.5853659E-001	5.5853659E-001	1.551490508068402E-001	0	8.999190401888936E-001	0.000000000000000E+000	1.551490508068402E-001	1.551490508068402E-001	0	0.000000000000000E+000	8.8339802E-003
2	1	0	0	0	0	0	5.699999856005888E+001	1.1999763E+000	1.2004578E+000	7.2821512E+000	2.037770871241888E-003	1.571868216780822E-001	5.6587255E-001	5.6587255E-001	1.571868216780821E-001	0	8.999179771533178E-001	0.000000000000000E+000	1.571868216780821E-001	1.571868216780821E-001	0	0.000000000000000E+000	8.7419152E-003
2	1	0	0	0	0	0	5.799999853479676E+001	1.1999763E+000	1.2004502E+000	7.2897811E+000	2.026444610834122E-003	1.592132662889163E-001	5.7316774E-001	5.7316774E-001	1.592132662889162E-001	0	8.999169200262657E-001	0.000000000000000E+000	1.592132662889162E-001	1.592132662889162E-001	0	0.000000000000000E+000	8.7510189E-003
2	1	0	0	0	0	0	5.899999850953463E+001	1.1999763E+000	1.2004387E+000	7.2440042E+000	2.021108062267303E-003	1.612343743511836E-001	5.8044374E-001	5.8044374E-001	1.612343743511835E-001	0	8.999158656831091E-001	0.000000000000000E+000	1.612343743511835E-001	1.612343743511835E-001	0	0.000000000000000E+000	8.6959833E-003
2	1	0	0	0	0	0	5.999999848427251E+001	1.1999763E+000	1.2005494E+000	7.1982284E+000	2.019688570949767E-003	1.632540629221333E-001	5.8771461E-001	5.8771461E-001	1.632540629221333E-001	0	8.999148120804527E-001	0.000000000000000E+000	1.632540629221333E-001	1.632540629221333E-001	0	0.000000000000000E+000	8.6418288E-003
2	1	0	0	0	0	0	6.099999845901039E+001	1.1999763E+000	1.2004961E+000	7.2325602E+000	2.010800541056527E-003	1.652648634631899E-001	5.9495354E-001	5.9495354E-001	1.652648634631899E-001	0	8.999137631143783E-001	0.000000000000000E+000	1.652648634631899E-001	1.652648634631899E-001	0	0.000000000000000E+000	8.6826598E-003
2	1	0	0	0	0	0	6.199999843374826E+001	1.1999763E+000	1.2005455E+000	7.2783365E+000	2.005294240713119E-003	1.672701577039030E-001	6.0217255E-001	6.0217255E-001	1.672701577039030E-001	0	8.999127170207532E-001	0.000000000000000E+000	1.672701577039030E-001	1.672701577039030E-001	0	0.000000000000000E+000	8.7379748E-003
2	1	0	0	0	0	0	6.299999840848614E+001	1.1999763E+000	1.2005341E+000	7.1982279E+000	2.004246047311359E-003	1.692744037512144E-001	6.0938787E-001	6.0938787E-001	1.692744037512143E-001	0	8.999116714739348E-001	0.000000000000000E+000	1.692744037512143E-001	1.692744037512143E-001	0	0.000000000000000E+000	8.6417180E-003
2	1	0	0	0	0	0	6.399999838322401E+001	1.1999763E+000	1.2005608E+000	7.2096720E+000	1.995067888577779E-003	1.712694716397921E-001	6.1657012E-001	6.1657012E-001	1.712694716397921E-001	0	8.999106307150488E-001	0.000000000000000E+000	1.712694716397921E-001	1.712694716397921E-001	0	0.000000000000000E+000	8.6556496E-003
2	1	0	0	0	0	0	6.499999835796189E+001	1.1999763E+000	1.2004349E+000	7.1753397E+000	1.989297313080894E-003	1.732587689528730E-001	6.2373155E-001	6.2373155E-001	1.732587689528730E-001	0	8.999095929664753E-001	0.000000000000000E+000	1.732587689528730E-001	1.732587689528730E-001	0	0.000000000000000E+000	8.6135287E-003
2	1	0	0	0	0	0	6.599999833269976E+001	1.1999763E+000	1.2004540E+000	7.1600809E+000	1.987552935706245E-003	1.752463218885793E-001	6.3088673E-001	6.3088673E-001	1.752463218885792E-001	0	8.999085561278840E-001	0.000000000000000E+000	1.752463218885792E-001	1.752463218885792E-001	0	0.000000000000000E+000	8.5953474E-003
2	1	0	0	0	0	0	6.699999830743764E+001	1.1999763E+000	1.2004845E+000	7.1143045E+000	1.977993310981327E-003	1.772243151995606E-001	6.3800752E-001	6.3800752E-001	1.772243151995606E-001	0	8.999075242762229E-001	0.000000000000000E+000	1.772243151995606E-001	1.772243151995606E-001	0	0.000000000000000E+000	8.5406126E-003
2	1	0	0	0	0	0	6.799999828217551E+001	1.1999763E+000	1.2004769E+000	7.0418253E+000	1.971571690347459E-003	1.791958868899081E-001	6.4510518E-001	6.4510518E-001	1.791958868899080E-001	0	8.999064957745023E-001	0.000000000000000E+000	1.791958868899080E-001	1.791958868899080E-001	0	0.000000000000000E+000	8.4535489E-003
2	1	0	0	0	0	0	6.899999825691339E+001	1.1999763E+000	1.2004616E+000	7.0570846E+000	1.970568638987012E-003	1.811664555288951E-001	6.5219927E-001	6.5219927E-001	1.811664555288950E-001	0	8.999054677960394E-001	0.000000000000000E+000	1.811664555288950E-001	1.811664555288950E-001	0	0.000000000000000E+000	8.4717590E-003
2	1	0	0	0	0	0	6.999999823165126E+001	1.1999763E+000	1.2005342E+000	7.0647135E+000	1.962227798594369E-003	1.831286833274894E-001	6.5926325E-001	6.5926325E-001	1.831286833274894E-001	0	8.999044441687085E-001	0.000000000000000E+000	1.831286833274894E-001	1.831286833274894E-001	0	0.000000000000000E+000	8.4814299E-003
2	1	0	0	0	0	0	7.099999820638914E+001	1.1999763E+000	1.2005761E+000	7.0227518E+000	1.955723743147320E-003	1.850844070706368E-001	6.6630387E-001	6.6630387E-001	1.850844070706367E-001	0	8.999034239343215E-001	0.000000000000000E+000	1.850844070706367E-001	1.850844070706367E-001	0	0.000000000000000E+000	8.4313480E-003
2	1	0	0	0	0	0	7.199999818112701E+001	1.1999763E+000	1.2003930E+000	6.9769754E+000	1.954995346864065E-003	1.870394024175008E-001	6.7334187E-001	6.7334187E-001	1.870394024175008E-001	0	8.999024040799142E-001	0.000000000000000E+000	1.870394024175008E-001	1.870394024175008E-001	0	0.000000000000000E+000	8.3751120E-003
2	1	0	0	0	0	0	7.299999815586489E+001	1.1999763E+000	1.2006258E+000	7.0380106E+000	1.948188023222817E-003	1.889875904407236E-001	6.8035531E-001	6.8035531E-001	1.889875904407236E-001	0	8.999013877766553E-001	0.000000000000000E+000	1.889875904407236E-001	1.889875904407236E-001	0	0.000000000000000E+000	8.4500173E-003
2	1	0	0	0	0	0	7.399999813060276E+001	1.1999763E+000	1.2005532E+000	7.0189371E+000	1.943139696412616E-003	1.909307301371362E-001	6.8735063E-001	6.8735063E-001	1.909307301371362E-001	0	8.999003741069365E-001	0.000000000000000E+000	1.909307301371362E-001	1.909307301371362E-001	0	0.000000000000000E+000	8.4266076E-003
2	1	0	0	0	0	0	7.499999810534064E+001	1.1999763E+000	1.2003815E+000	6.9388285E+000	1.943173606607649E-003	1.928739037437439E-001	6.9434607E-001	6.9434607E-001	1.928739037437439E-001	0	8.998993604195278E-001	0.000000000000000E+000	1.928739037437439E-001	1.928739037437439E-001	0	0.000000000000000E+000	8.3292415E-003
2	1	0	0	0	0	0	7.599999808007851E+001	1.1999763E+000	1.2005036E+000	7.0151224E+000	1.937068395270242E-003	1.948109721390141E-001	7.0131952E-001	7.0131952E-001	1.948109721390141E-001	0	8.998983499169997E-001	0.000000000000000E+000	1.948109721390141E-001	1.948109721390141E-001	0	0.000000000000000E+000	8.4216800E-003
2	1	0	0	0	0	0	7.699999805481639E+001	1.1999763E+000	1.2005074E+000	6.9731607E+000	1.929833612892363E-003	1.967408057519065E-001	7.0826691E-001	7.0826691E-001	1.967408057519065E-001	0	8.998973431886109E-001	0.000000000000000E+000	1.967408057519065E-001	1.967408057519065E-001	0	0.000000000000000E+000	8.3713308E-003
2	1	0	0	0	0	0	7.799999802955426E+001	1.1999763E+000	1.2004578E+000	6.8777938E+000	1.927871799548467E-003	1.986686775514550E-001	7.1520722E-001	7.1520722E-001	1.986686775514550E-001	0	8.998963374836332E-001	0.000000000000000E+000	1.986686775514550E-001	1.986686775514550E-001	0	0.000000000000000E+000	8.2565015E-003
