Ns changes	time/s	I/mA	Capacity/mA.h
0	219.7616	1.99227035	0.207249409
0	220.7616	1.98615825	0.207802631
0	221.7616	1.98692238	0.208354396
0	222.7616	1.98310232	0.208904834
0	223.7616	1.97355235	0.20945394
0	224.7616	1.96782219	0.210001668
0	225.7616	1.96132827	0.210547997
0	226.7616	1.95559824	0.211092886
0	227.7616	1.95865428	0.21163639
0	228.7616	1.95292437	0.212178481
0	229.7616	1.94566631	0.212719302
0	230.7616	1.93649817	0.213258702
0	231.7616	1.93153238	0.21379673
0	232.7616	1.93573439	0.214333425
0	233.7616	1.92274642	0.214868861
0	234.7616	1.91396034	0.215402975
0	235.7616	1.91854417	0.215935745
0	236.7616	1.91205025	0.21646718
0	237.7616	1.9151063	0.216997272
0	238.7616	1.9005903	0.217526124
0	239.7616	1.89447832	0.21805368
0	240.7616	1.88989425	0.218579942
0	241.7616	1.8872205	0.219104907
0	242.7616	1.88760233	0.219628608
0	243.7616	1.87958026	0.220151034
0	244.7616	1.88034427	0.220672172
0	245.7616	1.86124432	0.221191997
0	246.7616	1.86162615	0.221710522
0	247.7616	1.85666025	0.222227744
0	248.7616	1.85818827	0.222743541
0	249.7616	1.8501662	0.223258014
0	250.7616	1.84825611	0.223771267
0	251.7616	1.84061623	0.224283229
0	252.7616	1.83832431	0.22479389
0	253.7616	1.82839239	0.225303334
0	254.7616	1.82610035	0.225811519
0	255.7616	1.82228029	0.226318429
0	256.7616	1.81998825	0.226824007
0	257.7616	1.81349409	0.227328319
0	258.7616	1.81273019	0.227831354
0	259.7616	1.80165207	0.22833312
0	260.7616	1.79706824	0.228833624
0	261.7616	1.79668617	0.229332886
0	262.7616	1.79133821	0.229830888
0	263.7616	1.78751814	0.230327625
0	264.7616	1.77720428	0.230823172
0	265.7616	1.78140604	0.231317539
0	266.7616	1.77185619	0.231810568
0	267.7616	1.77147412	0.23230241
0	268.7616	1.76116014	0.232793041
0	269.7616	1.75963235	0.233282379
0	270.7616	1.75848615	0.233770526
0	271.7616	1.75466621	0.234257505
0	272.7616	1.74549818	0.234743304
0	273.7616	1.74015021	0.235227807
0	274.7616	1.73327422	0.235711102
0	275.7616	1.72983623	0.236193186
0	276.7616	1.72678018	0.236674065
0	277.7616	1.72487032	0.237153671
0	278.7616	1.7221961	0.237632046
0	279.7616	1.71914029	0.238109248
0	280.7616	1.71035409	0.238585241
0	281.7616	1.70920813	0.23906005
0	282.7616	1.70042217	0.239533688
0	283.7616	1.7011863	0.240006097
0	284.7616	1.69851232	0.240477243
0	285.7616	1.68590617	0.240947126
0	286.7616	1.69049013	0.241415844
0	287.7616	1.67941225	0.241883357
0	288.7616	1.6763562	0.242349683
0	289.7616	1.67864811	0.242814728
0	290.7616	1.67062628	0.243278597
0	291.7616	1.6584022	0.243741287
0	292.7616	1.65572822	0.244202774
0	293.7616	1.65496433	0.244663187
0	294.7616	1.66031218	0.245122359
0	295.7616	1.64159417	0.245580252
0	296.7616	1.64083016	0.246037032
0	297.7616	1.63586426	0.246492677
0	298.7616	1.63280821	0.246947084
0	299.7616	1.62822425	0.247400251
0	300.7616	1.62440407	0.247852322
0	301.7616	1.62173009	0.248303205
0	302.7616	1.61829221	0.248752869
0	303.7616	1.6125623	0.249201324
0	304.7616	1.60683227	0.249648588
0	305.7616	1.59728217	0.250094686
0	306.7616	1.59995615	0.25053962
0	307.7616	1.59919214	0.25098338
0	308.7616	1.59117031	0.251426006
0	309.7616	1.58964229	0.251867444
0	310.7616	1.58200228	0.252307781
0	311.7616	1.58276618	0.25274689
0	312.7616	1.57780027	0.253184885
0	313.7616	1.56901407	0.253621784
0	314.7616	1.56328404	0.254057491
0	315.7616	1.56061018	0.254492083
0	316.7616	1.55946422	0.254925559
0	317.7616	1.55067813	0.255357988
0	318.7616	1.55297005	0.255789289
0	319.7616	1.54609418	0.256219428
0	320.7616	1.54533017	0.256648442
0	321.7616	1.54418421	0.257076374
0	322.7616	1.53463411	0.257503165
0	323.7616	1.53310609	0.257928815
0	324.7616	1.52470219	0.258353332
0	325.7616	1.52393806	0.258776745
0	326.7616	1.52546608	0.259199161
0	327.7616	1.51056814	0.259620433
0	328.7616	1.51515222	0.260040558
0	329.7616	1.50560212	0.260459586
0	330.7616	1.50445616	0.260877449
0	331.7616	1.49643409	0.261294197
0	332.7616	1.48841214	0.261709838
0	333.7616	1.48382819	0.262124312
0	334.7616	1.48230016	0.262537687
0	335.7616	1.47962618	0.262949975
0	336.7616	1.47580612	0.263361159
0	337.7616	1.47771621	0.263771292
0	338.7616	1.47236824	0.264180278
0	339.7616	1.47084022	0.264588176
0	340.7616	1.47122216	0.264994995
0	341.7616	1.46281815	0.26540077
0	342.7616	1.45441425	0.26580555
0	343.7616	1.44257212	0.266209232
0	344.7616	1.45365012	0.266611783
0	345.7616	1.44448209	0.267013336
0	346.7616	1.43722415	0.26741376
0	347.7616	1.4341681	0.267813137
0	348.7616	1.43875217	0.268211512
0	349.7616	1.43378615	0.268608776
0	350.7616	1.42691016	0.26900494
0	351.7616	1.41468608	0.269400111
0	352.7616	1.42500019	0.269794219
0	353.7616	1.41812408	0.270187236
0	354.7616	1.40666413	0.270579219
0	355.7616	1.40590012	0.270970201
0	356.7616	1.40742815	0.271360174
0	357.7616	1.39482212	0.271749125
0	358.7616	1.39291215	0.272137033
0	359.7616	1.39176607	0.272523998
0	360.7616	1.38107014	0.272909892
0	361.7616	1.37992418	0.273294711
0	362.7616	1.37801409	0.273678534
0	363.7616	1.38030612	0.27406134
0	364.7616	1.37304819	0.274443113
0	365.7616	1.37228417	0.274823858
0	366.7616	1.35891402	0.275203564
0	367.7616	1.35815012	0.275582238
0	368.7616	1.35853207	0.275959833
0	369.7616	1.34821808	0.276336388
0	370.7616	1.3516562	0.276711933
0	371.7616	1.33866811	0.277086459
0	372.7616	1.34363401	0.277459978
0	373.7616	1.33981407	0.277832505
0	374.7616	1.3344661	0.27820414
0	375.7616	1.33905017	0.278574746
0	376.7616	1.32759011	0.278944402
0	377.7616	1.32491612	0.279313054
0	378.7616	1.31651211	0.27968066
0	379.7616	1.31498408	0.280047258
0	380.7616	1.31345606	0.280412869
0	381.7616	1.31727612	0.280777512
0	382.7616	1.3088721	0.281141288
0	383.7616	1.30085003	0.281504098
0	384.7616	1.30581617	0.281865884
0	385.7616	1.298558	0.282226705
0	386.7616	1.29741216	0.282586574
0	387.7616	1.28786206	0.282945443
0	388.7616	1.28977215	0.283303409
0	389.7616	1.28518808	0.283660486
0	390.7616	1.2825141	0.28401659
0	391.7616	1.27678418	0.284371732
0	392.7616	1.26990807	0.284725933
0	393.7616	1.2756381	0.285079201
0	394.7616	1.27029014	0.285431451
0	395.7616	1.25501013	0.285782717
0	396.7616	1.25997603	0.286133031
0	397.7616	1.24966216	0.286482378
0	398.7616	1.25119007	0.286830777
0	399.7616	1.24660611	0.287178146
0	400.7616	1.25157213	0.28752454
0	401.7616	1.24164009	0.287870051
0	402.7616	1.2382021	0.288214725
0	403.7616	1.23247218	0.28855838
0	404.7616	1.23629212	0.288901059
0	405.7616	1.23018003	0.289242823
0	406.7616	1.22979808	0.28958365
0	407.7616	1.22063017	0.289923594
0	408.7616	1.22406805	0.290262634
0	409.7616	1.21260798	0.290600739
0	410.7616	1.20917022	0.290937852
0	411.7616	1.21757412	0.291274021
0	412.7616	1.20726013	0.291609275
0	413.7616	1.20267618	0.291943567
0	414.7616	1.20000207	0.292276941
0	415.7616	1.19083405	0.292609353
0	416.7616	1.19847405	0.292940788
0	417.7616	1.18739605	0.293271187
0	418.7616	1.18166614	0.293600641
0	419.7616	1.18013811	0.29392911
0	420.7616	1.17517209	0.294256656
0	421.7616	1.17746413	0.294583283
0	422.7616	1.16676807	0.294908991
0	423.7616	1.16715002	0.295233873
0	424.7616	1.16409409	0.295557803
0	425.7616	1.16065609	0.295880805
0	426.7616	1.16218412	0.296202947
0	427.7616	1.15569007	0.296524152
0	428.7616	1.1537801	0.296844452
0	429.7616	1.15034199	0.297163834
0	430.7616	1.14728606	0.297482313
0	431.7616	1.14537609	0.297799856
0	432.7616	1.14384806	0.298116563
